epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.4956266753362154,0.8330341113105925,0.7770470371094618,0.24318313418791213,0.896551724137931,0.8488867032556353,5e-05,186.28334832191467
2,0.15175742588107954,0.947935368043088,0.9296679276624321,0.20691611437961974,0.9137931034482759,0.8792328698780312,5e-05,186.2975823879242
3,0.08090883265358113,0.9766606822262118,0.9677953597331879,0.11618927054524679,0.9568965517241379,0.9434297841548862,5e-05,186.43621158599854
4,0.07080662457014918,0.9712746858168761,0.9594464038852225,0.17196888086418138,0.9310344827586207,0.9059827649431609,5e-05,184.13353562355042
5,0.05067442774545247,0.9838420107719928,0.9774881660722764,0.6619069476065964,0.8275862068965517,0.7318750944478163,5e-05,183.94319534301758
